DesignRole;LOC;CC;Efferent;NOP;CLOC;%LOCDR
UNDEFINED;171;25;14;3;1975;22.09;
[PARSINGLOADABLE.PARSER];179;35;24;2;702;1.1;
BASEMEDIASOURCE;45;10;9;3;702;2.54;
TEST;45;7;7;2;702;23.09;
ACTIVITY;132;13;11;2;3569;1.41;
PERSISTENCE;89;19;13;4;914;8.87;
BASEPLAYER;45;7;6;2;857;2.15;
ENTITY;47;10;6;2;702;1.04;
DEFAULTHANDLER;60;19;15;13;1033;1.09;
[EXTRACTOR];142;34;15;3;1099;4.82;
VIEW;216;47;17;3;3620;6.61;
SIMPLEDECODER;77;17;15;4;702;1.74;
TRACKSELECTOR;45;14;13;6;1191;1.25;
CEADECODER;72;26;6;3;702;1.34;
BASERENDERER;79;23;10;4;1017;4.02;
