DesignRole;LOC;CC;Efferent;NOP;CLOC;%LOCDR
UNDEFINED;171;25;14;3;1975;33.75;
WEBSETTINGS;45;7;6;2;702;2.36;
[MPDBUILDER];45;7;6;2;702;1.52;
TEST;45;7;7;2;702;1.13;
ACTIVITY;132;13;11;2;3569;3.18;
DIALOG;121;19;13;3;1214;2.71;
CONTROLLER;520;148;49;12;8258;4.43;
ASYNCTASK;158;36;20;3;702;1.85;
ENTITY;47;10;6;2;702;3.63;
FRAGMENT;314;26;14;2;4557;4.9;
ONMEDIAFOUNDCALLBACK;45;7;6;2;702;1.1;
VIEW;216;47;17;3;3620;22.37;
REQUESTINTERCEPTOR;45;8;6;2;702;2.54;
STATEHANDLER;45;7;6;2;702;1.23;
SMARTPREFERENCESBASE;45;7;6;2;702;1.14;
