DesignRole;LOC;CC;Efferent;NOP;CLOC;%LOCDR
UNDEFINED;171;25;14;3;1975;23.71;
BROADCASTRECEIVER;61;12;16;3;702;1.01;
CIPHERSPI;69;18;17;4;702;1.67;
ABSTRACTMAP;45;7;6;2;702;2;
ACTIVITY;132;13;11;2;3569;4.64;
USERAUTH;131;33;11;2;702;1.24;
PERSISTENCE;89;19;13;4;914;12.53;
ASN1ENCODABLE;45;7;6;2;702;4.53;
ASYNCTASK;158;36;20;3;702;6;
ENTITY;47;10;6;2;702;2.76;
GENERALDIGEST;78;7;6;2;702;1.7;
FRAGMENT;314;26;14;2;4557;3.57;
CHANNEL;136;27;14;4;702;7.12;
VIEW;216;47;17;3;3620;4.5;
DICTIONARY;45;12;8;5;702;1.71;
KEYBOARD;52;11;9;4;754;1.34;
SERVICE;120;22;17;3;1439;4.42;
KEYPAIR;118;31;9;2;702;2.13;
