DesignRole;LOC;CC;Efferent;NOP;CLOC;%LOCDR
UNDEFINED;171;25;14;3;1975;7.41;
BROADCASTRECEIVER;61;12;16;3;702;1.29;
DASHCLOCKEXTENSION;45;12;10;2;702;1.38;
TEST;45;7;7;2;702;9.88;
ACTIVITY;132;13;11;2;3569;6;
ADAPTER;186;24;17;3;702;11.1;
PERSISTENCE;89;19;13;4;914;7.92;
ENTITY;47;10;6;2;702;8.16;
FRAGMENT;314;26;14;2;4557;12.21;
VIEW;216;47;17;3;3620;14.14;
PROPERTYHANDLER;45;8;7;5;702;1.64;
ABSTRACTGROUPINGFACTORY;54;17;15;2;702;5.32;
MODEL;45;7;9;2;702;2.82;
SERVICE;120;22;17;3;1439;1.65;
ABSTRACTCUSTOMCURSORFACTORY;45;7;6;3;702;1.03;
